frame,id,old_id,l,t,w,h,s,gpx,gpy,state
0,1,2,1160,280,248,505,0.89,0,0,0
0,3,1,481,335,104,266,0.92,0,0,0
0,4,4,806,268,499,1292,0.78,0,0,0
0,6,3,1365,303,67,194,0.87,0,0,0
1,1,2,1150,270,255,519,0.83,0,0,0
1,3,1,482,336,104,266,0.92,0,0,0
1,5,3,1367,303,67,195,0.89,0,0,0
1,7,4,839,272,493,1274,0.75,0,0,0
2,1,2,1148,246,255,519,0.8,0,0,0
2,2,5,884,331,78,223,0.92,0,0,0
2,3,1,482,336,104,266,0.92,0,0,0
2,4,4,865,283,495,1279,0.77,0,0,0
2,16,3,1365,302,68,196,0.87,0,0,0
3,1,2,1158,261,245,499,0.75,0,0,0
3,2,5,884,332,78,223,0.92,0,0,0
3,3,1,482,336,104,266,0.92,0,0,0
3,4,4,894,283,496,1285,0.78,0,0,0
3,17,3,1365,301,68,197,0.87,0,0,0
3,18,6,939,302,42,136,0.53,0,0,0
4,1,2,1130,252,282,574,0.39,0,0,0
4,2,5,884,332,79,226,0.92,0,0,0
4,3,1,483,336,104,266,0.92,0,0,0
4,4,4,911,301,501,1302,0.8,0,0,0
4,6,3,1365,301,68,196,0.87,0,0,0
4,18,6,939,302,42,134,0.69,0,0,0
5,1,2,1133,256,276,564,0.4371428571428571,1,0,0
5,2,5,885,332,79,225,0.92,0,0,0
5,3,1,483,336,104,266,0.92,0,0,0
5,4,7,944,289,109,189,0.88,0,0,0
5,17,3,1366,303,67,192,0.43,0,0,0
5,18,6,939,302,41,133,0.72,0,0,0
5,21,4,933,303,499,1304,0.77,0,0,0
6,1,3,1365,304,67,193,0.4618181818181818,1,0,0
6,2,5,885,332,79,225,0.93,0,0,0
6,3,1,483,336,104,267,0.92,0,0,0
6,4,7,944,289,108,188,0.88,0,0,0
6,7,4,953,311,489,1290,0.75,0,0,0
6,17,6,939,302,42,135,0.73,0,0,0
6,21,2,1137,260,270,554,0.4842857142857142,1,0,0
7,1,3,1363,304,67,193,0.4936363636363636,1,0,0
7,2,5,886,332,79,225,0.93,0,0,0
7,3,1,483,336,105,267,0.92,0,0,0
7,4,7,945,289,107,187,0.87,0,0,0
7,11,8,1017,326,72,178,0.87,0,0,0
7,17,6,938,302,43,138,0.74,0,0,0
7,21,2,1140,263,264,544,0.5314285714285714,1,0,0
7,22,4,978,320,481,1280,0.73,0,0,0
8,1,6,938,302,43,137,0.74,0,0,0
8,2,5,886,333,78,223,0.93,0,0,0
8,3,1,483,336,105,266,0.92,0,0,0
8,4,7,944,289,107,188,0.86,0,0,0
8,6,3,1362,304,67,193,0.5254545454545454,1,0,0
8,7,4,1004,312,477,1281,0.79,0,0,0
8,11,8,1015,325,72,179,0.89,0,0,0
