frame,id,x,y,state
0,1,0,0,0
0,2,0,0,0
0,3,0,0,0
0,4,0,2,0
0,5,0,-2,0
0,6,0,1,0
0,7,0,4,0
0,8,0,2,0
0,9,0,2,0
0,10,0,2,0
0,11,0,2,0
0,12,0,2,0
0,13,0,2,0
0,14,0,1,0
0,15,0,2,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,3,0
1,5,0,0,0
1,6,0,2,0
1,7,0,3,0
1,8,0,2,0
1,9,0,2,0
1,10,0,2,0
1,11,0,2,0
1,12,0,2,0
1,13,0,2,0
1,14,0,1,0
1,15,0,2,0
2,1,0,0,0
2,2,0,1,0
2,3,0,0,0
2,4,0,1,0
2,6,0,2,0
2,7,0,4,0
2,9,0,2,0
2,10,0,2,0
2,11,0,2,0
2,12,0,2,0
2,13,0,2,0
2,15,0,2,0
2,16,0,1,0
2,17,0,0,0
3,1,0,0,0
3,2,0,1,0
3,3,0,0,0
3,4,0,2,0
3,6,0,2,0
3,7,0,2,0
3,9,0,2,0
3,10,0,2,0
3,11,0,2,0
3,12,0,2,0
3,17,0,1,0
3,18,0,1,0
3,19,0,2,0
4,1,0,0,0
4,2,0,1,0
4,3,0,0,0
4,4,0,2,0
4,6,0,1,0
4,7,0,2,0
4,9,0,2,0
4,10,0,2,0
4,11,0,2,0
4,17,0,1,0
4,18,0,1,0
4,19,0,2,0
5,1,0,0,0
5,2,0,1,0
5,3,0,0,0
5,4,0,2,0
5,6,0,2,0
5,7,0,2,0
5,9,0,2,0
5,10,0,2,0
5,11,0,2,0
5,17,0,1,0
5,18,0,1,0
5,20,0,2,0
5,21,0,1,0
6,1,0,0,0
6,2,0,1,0
6,3,0,0,0
6,4,0,2,0
6,6,0,2,0
6,7,0,1,0
6,9,0,2,0
6,10,0,2,0
6,11,0,2,0
6,17,0,1,0
6,18,0,2,0
6,20,0,2,0
6,21,0,1,0
7,1,0,0,0
7,2,0,1,0
7,3,0,0,0
7,4,0,2,0
7,6,0,2,0
7,7,0,2,0
7,9,0,2,0
7,10,0,2,0
7,11,0,1,0
7,17,0,0,0
7,18,0,1,0
7,20,0,2,0
7,21,0,1,0
7,22,0,0,0
7,23,0,6,0
7,24,0,2,0
8,1,0,0,0
8,2,0,1,0
8,3,0,0,0
8,4,0,2,0
8,6,0,1,0
8,7,0,1,0
8,9,0,2,0
8,10,0,2,0
8,11,0,1,0
8,17,0,1,0
8,18,0,1,0
8,20,0,1,0
8,21,0,2,0
9,1,0,0,0
9,2,0,1,0
9,3,0,0,0
9,4,0,2,0
9,6,0,1,0
9,7,0,1,0
9,9,0,2,0
9,10,0,2,0
9,11,0,1,0
9,17,0,1,0
9,18,0,1,0
9,20,0,1,0
9,21,0,1,0
10,1,0,0,0
10,2,0,1,0
10,3,0,0,0
10,4,0,2,0
10,6,0,2,0
10,7,0,1,0
10,9,0,2,0
10,10,0,1,0
10,17,0,1,0
10,18,0,1,0
10,20,0,1,0
10,21,0,1,0
10,25,0,1,0
11,1,0,0,0
11,2,0,1,0
11,3,0,0,0
11,4,0,2,0
11,6,0,2,0
11,7,0,1,0
11,9,0,2,0
11,10,0,1,0
11,17,0,1,0
11,18,0,1,0
11,20,0,2,0
11,21,0,1,0
11,26,0,1,0
12,1,0,0,0
12,2,0,1,0
12,3,0,0,0
12,4,0,2,0
12,6,0,2,0
12,7,0,1,0
12,9,0,2,0
12,10,0,1,0
12,17,0,1,0
12,18,0,1,0
12,20,0,2,0
12,21,0,1,0
12,26,0,1,0
13,1,0,0,0
13,2,0,1,0
13,3,0,0,0
13,4,0,2,0
13,6,0,2,0
13,7,0,1,0
13,9,0,2,0
13,10,0,1,0
13,17,0,1,0
13,18,0,1,0
13,20,0,2,0
13,21,0,1,0
13,26,0,1,0
14,1,0,0,0
14,2,0,1,0
14,3,0,0,0
14,4,0,2,0
14,6,0,2,0
14,7,0,1,0
14,9,0,2,0
14,10,0,1,0
14,17,0,1,0
14,18,0,1,0
14,20,0,2,0
14,21,0,1,0
14,26,0,1,0
15,1,0,0,0
15,2,0,1,0
15,3,0,0,0
15,4,0,2,0
15,6,0,2,0
15,7,0,1,0
15,9,0,2,0
15,10,0,1,0
15,17,0,1,0
15,18,0,1,0
15,20,0,2,0
15,21,0,1,0
15,26,0,1,0
16,1,0,0,0
16,2,0,1,0
16,3,0,0,0
16,4,0,2,0
16,6,0,2,0
16,7,0,1,0
16,9,0,1,0
16,17,0,1,0
16,18,0,1,0
16,20,0,2,0
16,21,0,1,0
16,26,0,1,0
17,1,0,0,0
17,2,0,0,0
17,3,0,0,0
17,4,0,2,0
17,6,0,1,0
17,7,0,1,0
17,9,0,1,0
17,17,0,1,0
17,18,0,-2,0
17,20,0,2,0
17,21,0,1,0
17,26,0,1,0
17,27,0,2,0
17,28,0,1,0
18,1,0,0,0
18,2,0,0,0
18,3,0,0,0
18,4,0,2,0
18,6,0,2,0
18,7,0,1,0
18,9,0,1,0
18,17,0,1,0
18,18,0,1,0
18,21,0,-1,0
18,26,0,1,0
18,27,0,2,0
18,28,0,1,0
18,29,0,0,0
19,1,0,0,0
19,2,0,1,0
19,3,0,0,0
19,4,0,2,0
19,6,0,2,0
19,7,0,1,0
19,9,0,1,0
